State,Year,Transportation (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Transit Ridership,Highway use of gasoline (thousand gallons),Highway vehicle-miles traveled (millions),Vehicles,sq mi,tempHigh
Texas,1998,187.6118408,801462.0,20157531,269380559.0,9759340.0,206023.0,13324170.0,261231.71,79.3
Utah,1998,15.11763703,73231.0,2165960,25779227.0,944567.0,21270.0,1532250.0,82169.62,60.5
Vermont,1998,3.806338152,18086.0,600416,1582389.0,312495.0,6596.0,496153.0,9216.66,55.3
Virginia,1998,47.44972101,269698.0,6900918,49136033.0,3419930.0,72679.0,5818290.0,39490.09,68.5
Washington,1998,44.90822412,237384.0,5769562,169446275.0,2571243.0,51927.0,4823990.0,66455.52,58.1
West Virginia,1998,13.23003968,48361.0,1815609,3075684.0,819982.0,18666.0,1377840.0,24038.21,65.0
Wisconsin,1998,31.497489299999998,186541.0,5297672,95181435.0,2433382.0,56655.0,4203320.0,54157.8,57.4
Wyoming,1998,7.366215297,21560.0,490787,153642.0,321265.0,8031.0,558991.0,97093.14,54.8
United States,1998,1877.582343,10281034.0,275854104,8115118381.0,124693672.0,2628148.0,211616550.0,3531905.43,65.63
Alabama,1999,33.90831771,130898.0,4430141,4805992.0,2414076.0,56165.0,3957250.0,50645.33,76.4
Alaska,1999,15.05633615,34967.0,624779,3537657.0,267005.0,4545.0,571469.0,570640.95,31.8
Arizona,1999,33.15569758,167704.0,5023823,58185899.0,2312106.0,46924.0,3606230.0,113594.08,75.7
Arkansas,1999,21.80762662,76595.0,2651860,4932683.0,1392948.0,29247.0,1817830.0,52035.48,73.9
California,1999,214.09822020000001,1369606.0,33499204,1259100203.0,14249177.0,300066.0,26362470.0,155779.22,70.8
Colorado,1999,26.73726491,179848.0,4226018,81976730.0,1971403.0,40732.0,3858150.0,103641.89,60.7
Connecticut,1999,17.65921799,172260.0,3386401,47662921.0,1491660.0,29929.0,2766170.0,4842.36,61.5
Delaware,1999,5.15860946,44488.0,774990,8043164.0,383444.0,8483.0,615611.0,1948.54,66.9
Florida,1999,99.41431395,525592.0,15759421,189210465.0,7211565.0,141982.0,11389710.0,53624.76,82.1
Georgia,1999,64.59767738,316573.0,8045965,174681189.0,4619658.0,99304.0,6972710.0,57513.49,76.6
Hawaii,1999,9.164563147,47545.0,1210300,67230244.0,372078.0,8117.0,718107.0,6422.63,
Idaho,1999,9.217920221,35590.0,1275674,1562318.0,654935.0,13975.0,1129640.0,82643.12,55.7
Illinois,1999,68.6170179,518823.0,12359020,597917007.0,4989037.0,102397.0,9355260.0,55518.93,64.3
Indiana,1999,46.75592329,214221.0,6044969,28971386.0,3048711.0,70040.0,5495090.0,35826.11,64.3
Iowa,1999,19.99104581,100119.0,2917634,14386582.0,1512989.0,29140.0,3049970.0,55857.13,60.3
Kansas,1999,20.73187824,94776.0,2678338,4261005.0,1393463.0,27699.0,2224350.0,81758.72,68.6
Kentucky,1999,32.82986847,131187.0,4018053,24629226.0,2120311.0,46445.0,2661990.0,39486.34,69.4
Louisiana,1999,56.77717718,174152.0,4460811,79002339.0,2062004.0,41149.0,3504660.0,43203.9,79.3
Maine,1999,8.432039384,40105.0,1266808,2931329.0,678530.0,14144.0,915455.0,30842.92,54.2
Maryland,1999,29.97529074,202216.0,5254509,128018536.0,2396097.0,49126.0,3896300.0,9707.24,66.4
Massachusetts,1999,32.67727217,280031.0,6317345,384948967.0,2671177.0,51820.0,5333190.0,7800.06,60.4
Michigan,1999,62.20092181,364404.0,9897116,83359073.0,5056773.0,95645.0,8289640.0,56538.9,56.8
Minnesota,1999,35.42909624,198104.0,4873481,83519824.0,2473838.0,51410.0,4009720.0,79626.74,54.1
Mississippi,1999,27.1097903,75581.0,2828408,1548620.0,1583622.0,34879.0,2316770.0,46923.27,77.1
Missouri,1999,46.50812323,199733.0,5561948,72025819.0,2957977.0,66733.0,4404240.0,68741.52,67.7
Montana,1999,7.679626739,25351.0,897507,1440004.0,480754.0,9835.0,997905.0,145545.8,56.3
Nebraska,1999,14.41211742,62427.0,1704764,6580964.0,839188.0,18012.0,1569550.0,76824.17,63.9
Nevada,1999,14.49851676,84092.0,1934718,61340313.0,908280.0,17390.0,1162380.0,109781.18,64.8
New Hampshire,1999,7.4784839320000005,45175.0,1222014,746428.0,652558.0,11893.0,1050900.0,8952.65,56.6
New Jersey,1999,62.95829542,375892.0,8359592,347592839.0,3864358.0,65541.0,6102760.0,7354.22,64.6
New Mexico,1999,16.25968643,57749.0,1808082,7902859.0,925648.0,22429.0,1576480.0,121298.15,70.0
New York,1999,70.80206621,829200.0,18882725,2864122294.0,5590548.0,126491.0,10756030.0,47126.4,57.4
North Carolina,1999,51.02951371,303420.0,7949361,34107893.0,4081137.0,87758.0,5690440.0,48617.91,71.2
North Dakota,1999,5.922174059,20482.0,644259,1268540.0,349453.0,7262.0,704412.0,69000.8,54.1
Ohio,1999,70.36354555,418129.0,11335454,144958265.0,5068915.0,105511.0,10235600.0,40860.69,63.5
Oklahoma,1999,29.69752868,107022.0,3437147,7716853.0,1811741.0,42569.0,2931490.0,68594.92,73.7
Oregon,1999,24.479381600000004,111832.0,3393941,95211751.0,1525908.0,34680.0,3012960.0,95988.01,58.8
Pennsylvania,1999,71.58256440000001,443652.0,12263805,413645594.0,4946723.0,102011.0,9008600.0,44742.7,61.0
Rhode Island,1999,4.927030585,36370.0,1040402,15752919.0,404530.0,8281.0,747010.0,1033.81,61.7
South Carolina,1999,27.86725833,127371.0,3974682,8927459.0,2213438.0,44148.0,3026250.0,30060.7,75.3
South Dakota,1999,5.99786147,25086.0,750412,946769.0,418430.0,8244.0,781961.0,75811.0,60.1
Tennessee,1999,42.94091171,196232.0,5638706,24541698.0,2923280.0,64756.0,4426520.0,41234.9,71.4
Texas,1999,185.983724,835845.0,20558220,289807683.0,10198884.0,210874.0,14068720.0,261231.71,79.6
Utah,1999,15.59205333,75924.0,2203482,24671043.0,968927.0,22043.0,1577180.0,82169.62,62.5
Vermont,1999,3.9589783339999998,18908.0,604683,1547301.0,322524.0,6543.0,517615.0,9216.66,55.2
Virginia,1999,48.26011924,284538.0,7000174,47536381.0,3563551.0,73908.0,5871160.0,39490.09,68.0
Washington,1999,45.64953808,257112.0,5842564,177161243.0,2636908.0,52714.0,4862150.0,66455.52,56.6
West Virginia,1999,12.88248536,50191.0,1811799,3284927.0,816744.0,19032.0,1379130.0,24038.21,65.2
Wisconsin,1999,32.15026894,193925.0,5332666,93510475.0,2454852.0,56961.0,4265770.0,54157.8,56.0
Wyoming,1999,8.346957567999999,22727.0,491780,152048.0,323729.0,7797.0,528194.0,97093.14,56.4
United States,1999,1921.5898949999998,10771147.0,279040168,8521548403.0,128743412.0,2690241.0,216308620.0,3531905.43,66.20
Alabama,2000,35.22403306,132699.0,4452173,5365483.0,2378770.0,56534.0,3960150.0,50645.33,76.0
Alaska,2000,15.96463825,34192.0,627963,3591004.0,247395.0,4613.0,594399.0,570640.95,35.6
Arizona,2000,33.97218519,178845.0,5160586,58234487.0,2366396.0,49216.0,3794540.0,113594.08,76.1
Arkansas,2000,21.84935694,77539.0,2678588,4929272.0,1371641.0,29167.0,1840190.0,52035.48,72.0
California,2000,224.84206880000002,1472323.0,33987977,1311824696.0,14378254.0,306649.0,27697920.0,155779.22,71.2
Colorado,2000,26.9687837,195300.0,4326921,84542294.0,1977730.0,41771.0,3626010.0,103641.89,61.0
Connecticut,2000,17.12824815,184776.0,3411777,46111493.0,1422964.0,30756.0,2853450.0,4842.36,58.6
Delaware,2000,5.325956683,46453.0,786373,8312455.0,371093.0,8240.0,630446.0,1948.54,64.8
Florida,2000,105.2203572,549269.0,16047515,195361463.0,7368472.0,150945.0,11781010.0,53624.76,82.1
Georgia,2000,64.67431523,329292.0,8227303,178998414.0,4640345.0,105010.0,7155010.0,57513.49,75.6
Hawaii,2000,9.322122915,48819.0,1213519,67658955.0,384108.0,8543.0,737551.0,6422.63,
Idaho,2000,9.22322865,39402.0,1299430,1681314.0,631692.0,13534.0,1177700.0,82643.12,55.8
Illinois,2000,70.22684356,537369.0,12434161,612205535.0,5012000.0,102866.0,8972580.0,55518.93,62.4
Indiana,2000,48.72376507,222254.0,6091866,29818363.0,3094611.0,70862.0,5570940.0,35826.11,61.9
Iowa,2000,19.63923317,105338.0,2929067,13188683.0,1494514.0,29433.0,3106220.0,55857.13,59.3
Kansas,2000,19.65074867,97940.0,2693681,4458344.0,1314817.0,28130.0,2296140.0,81758.72,68.3
Kentucky,2000,32.89308487,128522.0,4049021,23898373.0,2020901.0,46803.0,2826400.0,39486.34,66.8
Louisiana,2000,62.41564601,168033.0,4471885,76611125.0,2160513.0,40849.0,3556980.0,43203.9,78.4
Maine,2000,8.997442312,41715.0,1277072,2994503.0,681121.0,14190.0,1024100.0,30842.92,50.9
Maryland,2000,30.11859408,209712.0,5311034,137815043.0,2388292.0,50174.0,3847540.0,9707.24,64.4
Massachusetts,2000,33.71862932,301565.0,6361104,386127625.0,2713913.0,52796.0,5265400.0,7800.06,57.4
Michigan,2000,60.18262721,372148.0,9952450,89874685.0,4905204.0,97792.0,8435720.0,56538.9,55.0
Minnesota,2000,36.65005012,211529.0,4933692,85531209.0,2515069.0,52601.0,4629940.0,79626.74,52.4
Mississippi,2000,26.33012975,76050.0,2848353,1606287.0,1520581.0,35536.0,2289410.0,46923.27,76.3
Missouri,2000,41.49847877,204918.0,5607285,70216203.0,3056280.0,67083.0,4579630.0,68741.52,66.1
Montana,2000,7.773032618999999,25816.0,903773,2297171.0,469683.0,9882.0,1026230.0,145545.8,54.9
Nebraska,2000,12.73589964,65318.0,1713820,5967724.0,824436.0,18081.0,1618930.0,76824.17,62.9
Nevada,2000,15.07267994,88043.0,2018741,58069944.0,924418.0,17639.0,1219730.0,109781.18,65.2
New Hampshire,2000,7.61128622,48814.0,1239882,752989.0,660399.0,12021.0,1051750.0,8952.65,53.5
New Jersey,2000,67.15324529,394422.0,8430621,357810665.0,3961872.0,67446.0,6390030.0,7354.22,62.2
New Mexico,2000,15.96383192,58461.0,1821204,7054059.0,879834.0,22760.0,1528510.0,121298.15,70.5
New York,2000,71.05809189,862501.0,19001780,2949786991.0,5522340.0,129057.0,10234530.0,47126.4,54.6
North Carolina,2000,52.64638910000001,316598.0,8081614,35039141.0,4067020.0,89504.0,6222500.0,48617.91,69.8
North Dakota,2000,5.788442157,21276.0,642023,1505760.0,339588.0,7217.0,693860.0,69000.8,52.6
Ohio,2000,72.10494063,429017.0,11363543,143514518.0,5060358.0,105903.0,10467480.0,40860.69,60.9
Oklahoma,2000,31.62261734,110354.0,3454365,7791544.0,1749268.0,43355.0,3014490.0,68594.92,72.3
Oregon,2000,23.73236675,121134.0,3429708,99953719.0,1494986.0,33870.0,3021570.0,95988.01,58.8
Pennsylvania,2000,73.64659764,452415.0,12284173,427596072.0,4948283.0,102337.0,9259970.0,44742.7,58.8
Rhode Island,2000,4.901002613999999,38457.0,1050268,16558826.0,396485.0,8359.0,759570.0,1033.81,58.7
South Carolina,2000,28.41713368,130940.0,4024223,10522799.0,2211717.0,45538.0,3094730.0,30060.7,74.2
South Dakota,2000,6.085023065,26878.0,755844,967014.0,415461.0,8432.0,792509.0,75811.0,58.4
Tennessee,2000,43.58631228,198052.0,5703719,24524969.0,2868431.0,65732.0,4819800.0,41234.9,69.5
Texas,2000,189.96932009999998,870111.0,20944499,291694181.0,10428049.0,220064.0,14070100.0,261231.71,78.8
Utah,2000,16.42125546,79679.0,2244502,25745959.0,995198.0,22597.0,1627610.0,82169.62,62.9
Vermont,2000,3.898317361,19952.0,609618,1541047.0,350397.0,6811.0,514883.0,9216.66,51.9
Virginia,2000,50.85071567,298266.0,7105817,49977939.0,3579714.0,74801.0,6046130.0,39490.09,66.1
Washington,2000,46.45135957,259155.0,5910512,177463924.0,2614703.0,53330.0,5115870.0,66455.52,55.8
West Virginia,2000,13.25438038,49564.0,1807021,3470982.0,810009.0,19242.0,1441740.0,24038.21,62.9
Wisconsin,2000,31.50081596,198885.0,5373999,94598255.0,2406714.0,57266.0,4365530.0,54157.8,54.2
Wyoming,2000,7.865094925,23172.0,494300,167736.0,318344.0,8090.0,585690.0,97093.14,55.8
United States,2000,1962.8051289999999,11225406.0,282162411,8719890910.0,128883609.0,2746925.0,221475170.0,3531905.43,65.31
Alabama,2001,33.08235175,133888.0,4467634,5674427.0,2382507.0,56769.0,4235090.0,50645.33,74.6
Alaska,2001,14.956613399999998,35729.0,633714,3678467.0,235400.0,4721.0,597734.0,570640.95,34.8
Arizona,2001,34.96670787,185464.0,5273477,56867118.0,2428430.0,49655.0,3967120.0,113594.08,75.5
Arkansas,2001,20.64317853,78447.0,2691571,5094476.0,1358174.0,29433.0,1863800.0,52035.48,72.2
California,2001,220.3172347,1473927.0,34479458,1346517005.0,14691753.0,310575.0,28780060.0,155779.22,71.7
Colorado,2001,28.25383515,201831.0,4425687,87014893.0,2048664.0,42955.0,4648820.0,103641.89,60.8
Connecticut,2001,17.79806355,186394.0,3432835,47994902.0,1458279.0,30844.0,2916870.0,4842.36,60.9
Delaware,2001,4.943149507,48724.0,795699,8542879.0,382043.0,8615.0,653085.0,1948.54,66.5
Florida,2001,103.5508253,563294.0,16356966,202852856.0,7471117.0,170587.0,14340100.0,53624.76,81.7
Georgia,2001,64.43821885,334131.0,8377038,175963020.0,4693703.0,107897.0,7304790.0,57513.49,75.9
Hawaii,2001,9.819552487000001,48444.0,1225948,71519342.0,404684.0,8694.0,868073.0,6422.63,
Idaho,2001,9.003162,39286.0,1319962,1682716.0,609051.0,14078.0,1323850.0,82643.12,56.5
Illinois,2001,67.73793089,539168.0,12488445,616940160.0,5015217.0,103038.0,9861490.0,55518.93,63.7
Indiana,2001,44.58360207,218459.0,6127760,29969831.0,3120985.0,71802.0,5625030.0,35826.11,63.4
Iowa,2001,19.50063866,103211.0,2931997,13346356.0,1475812.0,30016.0,3318310.0,55857.13,59.3
Kansas,2001,18.33918473,99287.0,2702162,4809625.0,1236951.0,28155.0,2330700.0,81758.72,68.4
Kentucky,2001,33.25842458,128665.0,4068132,24468099.0,2085629.0,46258.0,3625700.0,39486.34,68.0
Louisiana,2001,54.83966159,171593.0,4477875,74787452.0,2151437.0,43244.0,3608560.0,43203.9,77.1
Maine,2001,8.06319498,42570.0,1285692,3072416.0,590093.0,14423.0,1017540.0,30842.92,53.5
Maryland,2001,30.22415979,218594.0,5374691,135596468.0,2460545.0,51996.0,3938850.0,9707.24,66.0
Massachusetts,2001,33.1818796,308710.0,6397634,393345165.0,2720510.0,53015.0,5198220.0,7800.06,59.7
Michigan,2001,59.38759715,363057.0,9991120,92045664.0,4904689.0,98987.0,8453650.0,56538.9,56.5
Minnesota,2001,35.77567065,213203.0,4982796,84756224.0,2545530.0,53341.0,4554190.0,79626.74,53.4
Mississippi,2001,25.51763358,76014.0,2852994,1571927.0,1476477.0,35988.0,1953770.0,46923.27,75.1
Missouri,2001,41.53993588,204660.0,5641142,69538550.0,2958880.0,67632.0,4207840.0,68741.52,66.6
Montana,2001,7.8812219070000005,26647.0,906961,1982314.0,467567.0,10011.0,1033080.0,145545.8,56.2
Nebraska,2001,11.99583438,66094.0,1719836,5417580.0,812247.0,18102.0,1633450.0,76824.17,62.6
Nevada,2001,15.06295992,88919.0,2098399,58803047.0,945643.0,18309.0,1279830.0,109781.18,65.4
New Hampshire,2001,7.612846641,48742.0,1255517,689928.0,662475.0,12315.0,1099540.0,8952.65,56.1
New Jersey,2001,65.16879853,402753.0,8492671,374662419.0,3911837.0,68725.0,6580030.0,7354.22,64.2
New Mexico,2001,16.32237013,60084.0,1831690,9772025.0,885829.0,23232.0,1428460.0,121298.15,69.6
New York,2001,70.79478627,895250.0,19082838,3121000878.0,5536612.0,130722.0,10196470.0,47126.4,57.1
North Carolina,2001,51.75909782,320421.0,8210122,36720729.0,4060592.0,91580.0,6179750.0,48617.91,71.1
North Dakota,2001,6.249762925,21576.0,639062,1537279.0,334544.0,7235.0,707585.0,69000.8,53.7
Ohio,2001,71.69772178,420633.0,11387404,136384076.0,5028276.0,106589.0,10554900.0,40860.69,62.5
Oklahoma,2001,34.41044075,114636.0,3467100,8921608.0,1751701.0,43527.0,3281080.0,68594.92,72.5
Oregon,2001,22.64776305,119665.0,3467937,105245500.0,1487269.0,34398.0,3039400.0,95988.01,59.5
Pennsylvania,2001,73.3109519,453854.0,12298970,428334811.0,5024671.0,103004.0,9630760.0,44742.7,60.6
Rhode Island,2001,4.914453496,39864.0,1057142,14854573.0,399113.0,7991.0,764478.0,1033.81,60.7
South Carolina,2001,28.6489857,132206.0,4064995,10592266.0,2217141.0,46601.0,3142740.0,30060.7,75.3
South Dakota,2001,5.989326572,27610.0,757972,1044507.0,402472.0,8542.0,803496.0,75811.0,58.4
Tennessee,2001,43.32916942,200084.0,5750789,26360059.0,2837567.0,67632.0,5138840.0,41234.9,69.6
Texas,2001,197.3741532,891618.0,21319622,302730056.0,10637488.0,216269.0,14358760.0,261231.71,77.5
Utah,2001,15.75493602,81074.0,2283715,27061553.0,945531.0,23452.0,1751730.0,82169.62,63.0
Vermont,2001,3.976176745,20442.0,612223,1598715.0,331183.0,9617.0,533785.0,9216.66,54.7
Virginia,2001,50.72565087,311397.0,7198362,50939342.0,3765718.0,73745.0,6171380.0,39490.09,67.7
Washington,2001,44.36256853,255435.0,5985722,175328905.0,2622633.0,53665.0,5179100.0,66455.52,56.6
West Virginia,2001,13.04497962,49945.0,1801481,3495307.0,818516.0,19714.0,1452050.0,24038.21,64.2
Wisconsin,2001,31.27380119,200717.0,5406835,95995848.0,2418289.0,57269.0,4472940.0,54157.8,55.6
Wyoming,2001,8.023569429,24804.0,494657,181388.0,321847.0,8625.0,572623.0,97093.14,56.4
United States,2001,1937.856043,11365110.0,284968955,9007786295.0,129682090.0,2797339.0,230428330.0,3531905.43,65.64
Alabama,2002,34.92881589,137086.0,4480089,5557613.0,2541401.0,57515.0,4428000.0,50645.33,74.8
Alaska,2002,15.25116855,37111.0,642337,3466704.0,237008.0,4896.0,620415.0,570640.95,37.6
Arizona,2002,35.66433749,189985.0,5396255,60219852.0,2540577.0,51334.0,3939580.0,113594.08,76.0
Arkansas,2002,21.19086882,80583.0,2705927,4929046.0,1383458.0,30080.0,1872750.0,52035.48,71.1
California,2002,231.7220906,1502642.0,34871843,1377987092.0,15385840.0,320942.0,29618610.0,155779.22,72.0
Colorado,2002,27.97517289,204515.0,4490406,88477272.0,2023069.0,43545.0,2150560.0,103641.89,60.5
Connecticut,2002,17.64195254,183310.0,3458749,46552216.0,1519930.0,31205.0,2914830.0,4842.36,60.7
Delaware,2002,5.157981122,47500.0,806169,8298186.0,409225.0,8875.0,674143.0,1948.54,67.4
Florida,2002,105.96535300000001,583005.0,16689370,203104569.0,7720436.0,178367.0,13963600.0,53624.76,81.8
Georgia,2002,64.28354416,337679.0,8508256,175428747.0,4826786.0,108321.0,7647520.0,57513.49,75.8
Hawaii,2002,10.37868783,49595.0,1239613,74660639.0,433325.0,8886.0,892553.0,6422.63,
Idaho,2002,9.115759945,40225.0,1340372,1678244.0,625328.0,14167.0,1385820.0,82643.12,55.0
Illinois,2002,65.36867471,540839.0,12525556,610228973.0,5060607.0,105401.0,9577220.0,55518.93,63.4
Indiana,2002,47.7227546,224552.0,6155967,29088875.0,3076612.0,72523.0,5664730.0,35826.11,63.2
Iowa,2002,20.03503558,106125.0,2934234,16980874.0,1519134.0,30847.0,3310410.0,55857.13,59.9
Kansas,2002,18.61848852,100110.0,2713535,4554393.0,1161487.0,28443.0,2336700.0,81758.72,68.0
Kentucky,2002,34.22634809,132016.0,4089875,22857175.0,2062529.0,46841.0,3600750.0,39486.34,67.6
Louisiana,2002,56.11808794,173671.0,4497267,72949505.0,2218653.0,43295.0,3660320.0,43203.9,76.7
Maine,2002,9.112804082,43636.0,1295960,3233228.0,699017.0,14727.0,967583.0,30842.92,51.8
Maryland,2002,29.69004286,225324.0,5440389,141216916.0,2504827.0,53702.0,3883930.0,9707.24,66.7
Massachusetts,2002,33.15910248,309194.0,6417206,417318368.0,2785618.0,53266.0,5406850.0,7800.06,59.5
Michigan,2002,60.31047835,373547.0,10015710,89645258.0,4997313.0,100144.0,8533640.0,56538.9,55.4
Minnesota,2002,36.21115402,217934.0,5018935,81346348.0,2587209.0,54562.0,4520310.0,79626.74,52.1
Mississippi,2002,25.9527506,76705.0,2858681,1453582.0,1536524.0,36429.0,1954780.0,46923.27,74.8
Missouri,2002,42.32417208,208039.0,5674825,65192326.0,3007814.0,68163.0,4235030.0,68741.52,66.4
Montana,2002,7.88273517,26929.0,911667,2023582.0,476027.0,10395.0,1056140.0,145545.8,53.6
Nebraska,2002,12.2759346,66640.0,1728292,5220874.0,830312.0,18719.0,1655600.0,76824.17,63.1
Nevada,2002,15.23431683,91013.0,2173791,60567450.0,973693.0,17966.0,1252880.0,109781.18,65.1
New Hampshire,2002,8.445770682000001,50074.0,1269089,695304.0,687666.0,12578.0,1143230.0,8952.65,55.2
New Jersey,2002,65.74123131,408423.0,8552643,356457279.0,4003263.0,69942.0,6687920.0,7354.22,64.7
New Mexico,2002,16.01530827,61520.0,1855309,9029574.0,904705.0,22789.0,1538280.0,121298.15,69.7
New York,2002,72.11124416,891501.0,19137800,3111234974.0,5617401.0,133057.0,10455700.0,47126.4,56.7
North Carolina,2002,52.11486239,324302.0,8326201,39017419.0,4139592.0,92894.0,6149470.0,48617.91,71.1
North Dakota,2002,6.19813778,22657.0,638168,1512200.0,336169.0,7336.0,698424.0,69000.8,52.3
Ohio,2002,71.98602225,429847.0,11407889,128246500.0,5093599.0,107861.0,10469720.0,40860.69,62.6
Oklahoma,2002,32.16446666,115276.0,3489080,9033312.0,1707873.0,45731.0,3070950.0,68594.92,71.1
Oregon,2002,22.96321579,125520.0,3513424,114876087.0,1514970.0,34578.0,3069310.0,95988.01,59.8
Pennsylvania,2002,73.39895973,463831.0,12331031,422289761.0,5114345.0,104476.0,9525000.0,44742.7,60.7
Rhode Island,2002,4.85139513,41508.0,1065995,14794317.0,389921.0,8142.0,775725.0,1033.81,60.7
South Carolina,2002,29.13106484,134397.0,4107795,9012895.0,2269954.0,47290.0,3202100.0,30060.7,75.1
South Dakota,2002,6.495304303999999,29734.0,760020,1010174.0,418671.0,8499.0,813908.0,75811.0,58.6
Tennessee,2002,45.64052583,206386.0,5795918,26255570.0,2988611.0,68229.0,4776520.0,41234.9,69.6
Texas,2002,203.6437993,912837.0,21690325,293827502.0,11115753.0,221026.0,14664330.0,261231.71,76.9
Utah,2002,16.29177693,81865.0,2324815,29686698.0,992923.0,24564.0,1847170.0,82169.62,62.2
Vermont,2002,3.8938779539999997,20954.0,615442,1632963.0,336431.0,9677.0,537146.0,9216.66,53.9
Virginia,2002,50.79237148,315625.0,7286873,51640481.0,3792255.0,77450.0,6272840.0,39490.09,67.8
Washington,2002,42.94635498,257788.0,6052349,170529374.0,2659936.0,54776.0,5336330.0,66455.52,56.9
West Virginia,2002,12.83369158,50571.0,1805414,3453294.0,799068.0,20005.0,1462980.0,24038.21,64.2
Wisconsin,2002,31.23565055,204439.0,5445162,88825015.0,2474024.0,58746.0,4557200.0,54157.8,54.5
Wyoming,2002,7.953131616,25247.0,500017,181386.0,313298.0,9007.0,602935.0,97093.14,54.6
United States,2002,1972.065873,11559801.0,287625193,9017976117.0,132954729.0,2855756.0,229619980.0,3531905.43,65.19
Alabama,2003,33.79354154,140020.0,4503491,6643127.0,2446942.0,58637.0,4329250.0,50645.33,73.8
Alaska,2003,15.97634707,36288.0,648414,3707940.0,241205.0,4942.0,636783.0,570640.95,36.7
Arizona,2003,36.71247568,199895.0,5510364,71734388.0,2574491.0,53896.0,3573990.0,113594.08,76.2
Arkansas,2003,21.10918361,83054.0,2724816,4701046.0,1397579.0,30639.0,1888560.0,52035.48,71.0
California,2003,221.4138165,1549596.0,35253159,1327293349.0,15358354.0,323592.0,30248070.0,155779.22,71.8
Colorado,2003,27.44458611,205386.0,4528732,86560069.0,2011767.0,43379.0,2027400.0,103641.89,61.0
Connecticut,2003,18.14487837,184469.0,3484336,37153610.0,1610491.0,31432.0,2963540.0,4842.36,57.9
Delaware,2003,5.048988659,50084.0,818003,8062106.0,408311.0,9044.0,686817.0,1948.54,64.0
Florida,2003,104.3216645,610448.0,17004085,214319569.0,7893121.0,185511.0,14526130.0,53624.76,81.2
Georgia,2003,66.01572873,343372.0,8622793,159247026.0,4899436.0,109246.0,7730300.0,57513.49,74.3
Hawaii,2003,12.02396535,51684.0,1251154,70198200.0,442905.0,9312.0,902910.0,6422.63,
Idaho,2003,8.66991597,41272.0,1363380,1681138.0,593515.0,14290.0,1301120.0,82643.12,57.3
Illinois,2003,68.07288075,551750.0,12556006,596393146.0,5077060.0,106536.0,9250010.0,55518.93,62.1
Indiana,2003,49.1626875,232875.0,6196638,30469426.0,3197024.0,72511.0,5739350.0,35826.11,61.2
Iowa,2003,20.16619153,110158.0,2941999,18569508.0,1532197.0,31108.0,3368920.0,55857.13,58.9
Kansas,2003,20.34417237,102641.0,2723004,4603582.0,1337343.0,28672.0,2314460.0,81758.72,67.6
Kentucky,2003,32.74077566,133652.0,4117170,21058582.0,2143961.0,46748.0,3388880.0,39486.34,65.6
Louisiana,2003,55.81524172,181447.0,4521042,70842992.0,2269312.0,44156.0,3713560.0,43203.9,76.8
Maine,2003,9.703145593,44224.0,1306513,3231419.0,760776.0,14912.0,1051660.0,30842.92,50.7
Maryland,2003,30.67354525,230719.0,5496269,140346320.0,2574037.0,54701.0,3876610.0,9707.24,63.3
Massachusetts,2003,32.96755771,313816.0,6422565,415134548.0,2791807.0,53709.0,5479390.0,7800.06,56.8
Michigan,2003,57.78801576,378506.0,10041152,82496539.0,4901953.0,100756.0,8540330.0,56538.9,54.2
Minnesota,2003,36.17363384,225176.0,5053572,79381262.0,2616219.0,55296.0,4525140.0,79626.74,52.4
Mississippi,2003,27.48409628,79180.0,2868312,1457109.0,1576334.0,37467.0,1951000.0,46923.27,74.3
Missouri,2003,43.59425416,211791.0,5709403,62540555.0,3145591.0,68163.0,4459870.0,68741.52,65.4
Montana,2003,7.480825837,28077.0,919630,1921868.0,476160.0,10874.0,1010490.0,145545.8,55.6
Nebraska,2003,12.56671906,70242.0,1738643,6222364.0,825562.0,19016.0,1677200.0,76824.17,62.6
Nevada,2003,15.59084708,95930.0,2248850,55849152.0,1031421.0,19301.0,1221870.0,109781.18,65.8
New Hampshire,2003,7.897494178,51452.0,1279840,950378.0,695867.0,13180.0,1144960.0,8952.65,53.2
New Jersey,2003,64.13942239999999,416436.0,8601402,350099014.0,4101621.0,69778.0,6711600.0,7354.22,61.2
New Mexico,2003,15.65359031,63267.0,1877574,9157540.0,910555.0,22844.0,1509350.0,121298.15,70.9
New York,2003,76.69958082,893888.0,19175939,3058493611.0,5717835.0,135047.0,10801700.0,47126.4,54.4
North Carolina,2003,52.76506591,328019.0,8422501,41429888.0,4216735.0,93759.0,6118640.0,48617.91,69.2
North Dakota,2003,6.277670477999999,23958.0,638817,1517138.0,341825.0,7468.0,694241.0,69000.8,52.5
Ohio,2003,72.39911752,433751.0,11434788,131381433.0,5153371.0,108938.0,10536370.0,40860.69,59.9
Oklahoma,2003,32.5973622,116483.0,3504892,7169481.0,1762226.0,45725.0,3073710.0,68594.92,72.0
Oregon,2003,22.83993202,129136.0,3547376,113484845.0,1505004.0,35098.0,3060790.0,95988.01,60.5
Pennsylvania,2003,72.10054455,472178.0,12374658,423667221.0,5122303.0,106347.0,9724450.0,44742.7,57.7
Rhode Island,2003,4.751774141,43245.0,1071342,17005856.0,392650.0,8365.0,805740.0,1033.81,58.0
South Carolina,2003,29.29671796,138516.0,4150297,8553960.0,2307855.0,48120.0,3161890.0,30060.7,73.2
