State,Year,Transportation (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Transit Ridership,Highway use of gasoline (thousand gallons),Highway vehicle-miles traveled (millions),Vehicles,sq mi,tempHigh
Massachusetts,1994,29.65795616,196432.0,6095241,428685058.0,2389647.0,46990.0,4026800.0,7800.06,58.1
Michigan,1994,55.19697273,263500.0,9597737,98430166.0,4382988.0,85183.0,7573590.0,56538.9,54.2
Minnesota,1994,30.21738161,134715.0,4610355,71681399.0,2154389.0,43317.0,4057420.0,79626.74,51.3
Mississippi,1994,24.10523681,53852.0,2688992,753899.0,1363948.0,28548.0,2062970.0,46923.27,74.3
Missouri,1994,39.05243922,137379.0,5324497,65097743.0,2785108.0,57288.0,4207930.0,68741.52,65.6
Montana,1994,7.06753354,17932.0,861306,1617659.0,444618.0,9116.0,949525.0,145545.8,55.2
Nebraska,1994,11.47775563,45806.0,1639041,6732796.0,734141.0,15466.0,1457580.0,76824.17,61.9
Nevada,1994,11.4986711,48267.0,1499298,32351352.0,722015.0,13019.0,984696.0,109781.18,64.3
New Hampshire,1994,5.876234547999999,30113.0,1142560,810986.0,534520.0,10501.0,991815.0,8952.65,53.8
New Jersey,1994,62.58238543,265388.0,8014306,316576097.0,3421112.0,60466.0,5839210.0,7354.22,62.8
New Mexico,1994,14.86020839,42030.0,1682398,7847352.0,858229.0,20480.0,1422440.0,121298.15,69.7
New York,1994,64.98411242,596435.0,18459470,2349900414.0,5365261.0,112970.0,10196170.0,47126.4,54.7
North Carolina,1994,43.86906357,189755.0,7187398,32086561.0,3491594.0,71928.0,5442720.0,48617.91,70.2
North Dakota,1994,5.357595589,15045.0,644804,1451242.0,325376.0,6338.0,684640.0,69000.8,51.3
Ohio,1994,61.85065970000001,294384.0,11152454,132596622.0,4732145.0,98200.0,9663730.0,40860.69,61.1
Oklahoma,1994,27.8140711,72406.0,3280940,7270467.0,1709769.0,36980.0,2805750.0,68594.92,71.8
Oregon,1994,22.61814499,76924.0,3121264,74572942.0,1409091.0,29453.0,2752570.0,95988.01,59.6
Pennsylvania,1994,65.75925337,311576.0,12166050,434717636.0,4610646.0,92347.0,8482390.0,44742.7,58.7
Rhode Island,1994,4.253810131,25882.0,1015960,14432662.0,362921.0,7095.0,699093.0,1033.81,59.2
South Carolina,1994,24.04982466,85856.0,3705397,9998818.0,1892959.0,37245.0,2742810.0,30060.7,74.0
South Dakota,1994,5.724229922,18141.0,730790,873751.0,396961.0,7631.0,769386.0,75811.0,56.7
Tennessee,1994,37.19720473,136301.0,5231438,25953968.0,2627829.0,54524.0,5058650.0,41234.9,68.8
Texas,1994,162.4056773,505162.0,18564062,254755027.0,9120113.0,178348.0,13625860.0,261231.71,77.8
Utah,1994,12.55478383,44958.0,1960446,25567612.0,808753.0,18078.0,1414670.0,82169.62,62.4
Vermont,1994,3.643655635,14178.0,583836,1517630.0,299336.0,6152.0,489436.0,9216.66,52.1
Virginia,1994,44.2297886,188082.0,6593139,41595995.0,3146902.0,67609.0,5507060.0,39490.09,66.7
Washington,1994,44.97500429,159470.0,5375161,147542417.0,2404610.0,47428.0,4465070.0,66455.52,57.8
West Virginia,1994,12.69572708,35963.0,1820421,3538230.0,839273.0,17112.0,1462330.0,24038.21,63.2
Wisconsin,1994,28.72121448,135190.0,5133678,77470546.0,2197149.0,50273.0,3925790.0,54157.8,53.4
Wyoming,1994,6.09804324,15105.0,480283,264278.0,307874.0,6689.0,509170.0,97093.14,56.1
United States,1994,1733.985207,7288327.0,263125821,7701631442.0,115681981.0,2359984.0,198045360.0,3531905.43,64.80
Alabama,1995,33.93918108,98024.0,4296800,9712920.0,2283380.0,50628.0,3552840.0,50645.33,74.6
Alaska,1995,12.54921896,27608.0,604412,3083778.0,294662.0,4123.0,542186.0,570640.95,35.1
Arizona,1995,27.578720699999998,112019.0,4432499,54295517.0,1958002.0,39653.0,2873330.0,113594.08,75.2
Arkansas,1995,19.42699712,55836.0,2535399,4318941.0,1318092.0,26653.0,1613200.0,52035.48,71.7
California,1995,210.59023419999997,940599.0,31696582,1097728770.0,13012893.0,276371.0,22431750.0,155779.22,71.0
Colorado,1995,23.68033421,116821.0,3826653,74224757.0,1712801.0,35058.0,2811790.0,103641.89,59.2
Connecticut,1995,15.38183453,128538.0,3324144,46573453.0,1257051.0,28045.0,2622260.0,4842.36,59.3
Delaware,1995,4.580264925,29941.0,729734,7110318.0,346900.0,7515.0,591908.0,1948.54,65.2
Florida,1995,91.18469856,358419.0,14537875,172168139.0,6470446.0,127801.0,10369400.0,53624.76,81.2
Georgia,1995,59.45364677,209292.0,7328413,156300849.0,4057778.0,85384.0,6120200.0,57513.49,74.9
Hawaii,1995,10.22843613,39552.0,1196854,73626210.0,383362.0,7945.0,802126.0,6422.63,
Idaho,1995,8.249611069,27995.0,1177322,1816926.0,544855.0,12296.0,1043070.0,82643.12,54.9
Illinois,1995,58.97922052,374858.0,12008437,564693826.0,4593398.0,94189.0,8973010.0,55518.93,61.8
Indiana,1995,46.25788053,153785.0,5851459,25984575.0,2902287.0,64552.0,5071960.0,35826.11,61.8
Iowa,1995,18.72433701,74568.0,2867373,13817640.0,1396552.0,25987.0,2814020.0,55857.13,57.1
Kansas,1995,19.96196569,67531.0,2601007,3907134.0,1190041.0,25153.0,2084510.0,81758.72,66.4
Kentucky,1995,31.22864964,94259.0,3887427,25506381.0,1960974.0,41095.0,2631400.0,39486.34,66.5
Louisiana,1995,55.46682696,120333.0,4378779,90808822.0,1924180.0,38647.0,3285580.0,43203.9,77.5
Maine,1995,7.743933046,28769.0,1243480,2723559.0,590935.0,12589.0,966845.0,30842.92,51.4
Maryland,1995,26.37393519,144424.0,5070033,127878940.0,2135881.0,44882.0,3654200.0,9707.24,64.5
Massachusetts,1995,30.177466600000002,203189.0,6141445,348740069.0,2440893.0,48053.0,4501970.0,7800.06,58.0
Michigan,1995,56.63736881,264125.0,9676211,90652389.0,4545737.0,85703.0,7674090.0,56538.9,53.9
Minnesota,1995,31.28808139,138724.0,4660180,67119481.0,2201483.0,44072.0,3881830.0,79626.74,50.3
Mississippi,1995,24.3662009,56528.0,2722659,1470591.0,1395512.0,29559.0,2143550.0,46923.27,75.0
Missouri,1995,40.52020718,144371.0,5378247,67928884.0,2804990.0,59347.0,4255020.0,68741.52,65.1
Montana,1995,7.354649557,18036.0,876553,1718319.0,447134.0,9399.0,968468.0,145545.8,53.6
Nebraska,1995,12.1443022,46556.0,1656992,6411300.0,776764.0,15807.0,1466640.0,76824.17,60.8
Nevada,1995,11.95098323,51081.0,1581578,36813927.0,744557.0,13974.0,1047230.0,109781.18,64.2
New Hampshire,1995,6.124119057000001,32379.0,1157561,1155942.0,555636.0,10643.0,1122030.0,8952.65,54.1
New Jersey,1995,63.52806851,271764.0,8083242,322412245.0,3403952.0,61012.0,5906320.0,7354.22,62.6
New Mexico,1995,13.49214694,42733.0,1720394,7991197.0,853786.0,21147.0,1483730.0,121298.15,69.5
New York,1995,66.81040413,608937.0,18524104,2292631714.0,5475492.0,115091.0,10274040.0,47126.4,55.3
North Carolina,1995,45.61803726,199056.0,7344674,31974033.0,3567817.0,76053.0,5682260.0,48617.91,69.3
North Dakota,1995,5.362954371,15325.0,647832,1460659.0,333073.0,6545.0,694675.0,69000.8,50.2
Ohio,1995,63.03212294,304834.0,11202751,130003632.0,4797464.0,100788.0,9810270.0,40860.69,60.5
Oklahoma,1995,26.61564521,73889.0,3308208,6984024.0,1719873.0,38489.0,2856080.0,68594.92,71.5
Oregon,1995,22.27484433,81919.0,3184369,75644347.0,1397561.0,30034.0,2784970.0,95988.01,59.0
Pennsylvania,1995,66.56240181,321832.0,12198403,425126109.0,4668698.0,94520.0,8480530.0,44742.7,58.8
Rhode Island,1995,4.369734219,26552.0,1017002,14918049.0,370256.0,6896.0,699210.0,1033.81,59.3
South Carolina,1995,24.09562857,89046.0,3748582,10004703.0,1941678.0,38724.0,2833330.0,30060.7,73.7
South Dakota,1995,5.84153434,18520.0,737925,865459.0,395581.0,7669.0,708613.0,75811.0,55.8
Tennessee,1995,39.14256088,140814.0,5326936,27764882.0,2669902.0,56214.0,5400290.0,41234.9,68.7
